Year," Total output: Quantity (million, $2015) "," Livestock and products: All livestock and products 1/: Quantity (million, $2015) "," Livestock and products: Meat animals: Quantity (million, $2015) "," Livestock and products: Dairy: Quantity (million, $2015) "," Livestock and products: Poultry and eggs: Quantity (million, $2015) "," Crops: All crops: Quantity (million, $2015) "," Crops: Food grains: Quantity (million, $2015) "," Crops: Feed crops: Quantity (million, $2015) "," Crops: Oil crops: Quantity (million, $2015) "," Crops: Vegetables and melons: Quantity (million, $2015) "," Crops: Fruits and tree nuts: Quantity (million, $2015) "," Crops: Other crops 2/: Quantity (million, $2015) "
1960,"175,550","87,662","55,842","19,576","11,371","84,423","7,545","37,693","6,917","10,331","10,413","14,140"
1961,"177,680","92,102","58,781","20,156","12,343","83,317","6,917","35,151","7,964","10,907","10,761","14,362"
1962,"179,290","91,780","58,629","20,372","12,260","84,855","6,408","36,237","8,034","11,074","10,956","15,303"
1963,"185,550","94,208","61,690","20,296","12,528","88,113","6,709","38,195","8,388","11,118","10,532","16,020"
1964,"184,491","97,398","64,698","20,697","12,989","85,373","7,435","35,022","8,426","10,734","10,645","15,868"
1965,"189,365","95,287","62,474","20,307","13,398","90,926","7,640","39,570","9,929","10,828","11,192","14,990"
1966,"188,802","97,392","64,866","19,660","14,177","89,180","7,689","39,479","10,187","11,502","11,593","12,728"
1967,"195,078","99,189","66,844","19,510","14,831","93,205","8,673","43,167","10,497","12,064","11,490","11,584"
1968,"198,030","98,958","67,605","19,337","14,404","96,180","9,194","41,936","11,998","12,807","11,264","12,855"
1969,"201,959","99,401","68,129","19,205","14,785","99,754","8,483","43,423","12,137","12,281","13,388","14,472"
1970,"199,198","102,835","71,211","19,412","15,399","94,559","7,939","40,324","12,320","12,036","12,592","13,610"
1971,"212,708","103,927","71,925","19,724","15,591","105,875","9,327","49,098","13,566","12,269","13,188","13,285"
1972,"213,612","104,368","71,154","20,012","16,002","106,396","8,916","47,877","13,855","12,454","11,924","15,181"
1973,"223,518","106,308","74,670","19,265","15,521","113,117","9,825","49,433","16,518","12,366","14,371","15,144"
1974,"211,599","106,898","74,948","19,307","15,646","102,694","10,433","42,317","13,313","12,310","14,725","14,529"
1975,"229,233","103,156","70,490","19,299","15,263","117,504","12,368","49,049","16,259","13,094","15,778","15,489"
1976,"230,294","106,565","72,130","20,138","16,322","116,684","12,301","49,534","13,894","13,481","15,270","16,468"
1977,"241,137","105,675","68,882","20,586","16,721","126,588","11,535","52,747","18,852","13,851","16,165","17,368"
1978,"244,215","104,365","66,738","20,408","17,464","129,919","10,791","56,658","19,906","14,466","16,025","16,404"
1979,"258,898","105,807","66,249","20,764","18,870","142,359","12,585","59,672","24,197","15,103","17,179","17,418"
1980,"250,432","110,858","70,724","21,657","19,115","129,571","14,003","51,070","18,748","15,195","18,702","16,629"
1981,"272,586","113,647","71,381","22,413","19,878","147,965","16,545","60,695","20,836","15,363","18,320","19,679"
1982,"276,527","112,753","70,139","22,873","19,936","149,570","16,049","62,025","23,099","16,208","18,255","18,036"
1983,"237,620","113,996","70,970","23,575","20,068","114,444","13,598","40,239","17,336","16,079","18,180","15,232"
1984,"269,917","112,263","69,819","22,749","20,581","144,818","15,064","59,653","20,236","16,525","18,067","19,207"
1985,"281,869","115,066","68,729","24,147","21,448","151,923","14,129","65,714","22,241","17,457","17,812","19,035"
1986,"270,938","115,189","69,023","24,177","22,309","142,630","12,396","62,339","20,380","18,026","17,205","17,404"
1987,"274,244","116,986","68,283","24,128","24,333","143,080","12,416","55,224","20,475","19,127","19,727","20,916"
1988,"258,671","117,381","66,752","24,538","24,820","126,132","11,294","41,153","16,967","18,256","21,171","22,079"
1989,"279,616","118,175","66,710","24,366","25,927","143,776","12,389","55,344","20,315","18,835","20,231","21,156"
1990,"293,043","121,019","67,200","25,034","27,664","153,695","15,980","57,040","20,441","19,455","19,903","24,247"
1991,"294,192","124,185","69,454","25,034","28,866","152,190","12,193","55,718","22,085","20,419","19,675","25,636"
1992,"311,369","127,293","70,993","25,589","30,090","166,879","14,958","64,678","23,421","21,278","20,549","25,955"
1993,"296,286","128,450","70,878","25,578","31,427","150,441","14,297","49,929","20,119","22,057","22,092","25,630"
1994,"330,984","135,466","76,300","26,103","32,935","177,795","14,413","65,853","27,014","24,368","22,968","27,743"
1995,"313,700","138,047","76,919","26,411","34,172","157,987","13,395","53,966","23,356","23,086","21,372","26,593"
1996,"328,730","137,461","73,964","26,204","36,221","171,549","13,862","63,113","25,236","23,871","21,440","27,812"
1997,"341,819","140,193","75,307","26,576","36,982","180,098","15,025","62,971","28,131","24,120","25,338","29,029"
1998,"344,163","141,140","75,397","26,790","37,616","177,756","15,392","64,330","29,060","23,813","23,148","26,785"
1999,"352,114","144,677","75,525","27,725","39,282","179,720","14,467","64,194","28,050","25,993","23,659","27,855"
2000,"354,056","144,832","73,318","28,532","40,087","183,087","13,904","65,132","28,809","25,611","25,774","28,564"
2001,"355,892","145,829","75,040","28,195","40,630","182,354","12,810","63,887","30,624","24,438","25,131","29,501"
2002,"348,646","147,008","73,040","29,023","42,428","174,843","10,989","60,281","28,684","25,202","25,236","28,384"
2003,"356,194","149,700","73,044","29,071","44,991","182,040","14,638","66,119","26,194","24,704","25,479","29,104"
2004,"372,532","147,272","73,668","29,156","42,832","199,287","14,129","72,890","32,494","25,676","26,225","32,043"